industry,percentage,funds_raised,stage,country,month,day,year,laid_off_count
17,0.2,16.0,14,59,2,10,2023,1
12,0.72,278.0,13,7,2,10,2023,0
2,0.265282,9400.0,14,22,2,10,2023,0
16,0.2,157.0,12,35,2,10,2023,0
7,0.265282,140.0,5,5,2,10,2023,0
11,0.28,298.0,13,59,2,10,2023,2
5,0.265282,24.0,2,59,2,10,2023,0
2,0.2,6.0,14,59,2,9,2023,2
9,0.33,526.0,4,59,2,9,2023,2
9,0.09,1700.0,13,58,2,9,2023,2
12,0.35,856.0,9,59,2,9,2023,0
7,0.1,566.0,13,59,2,9,2023,1
20,0.07,413.0,13,59,2,9,2023,1
23,0.12,157.0,13,59,2,9,2023,1
12,0.17,218.0,0,59,2,9,2023,1
25,0.12,192.0,4,14,2,9,2023,0
27,0.11,317.0,13,25,2,9,2023,0
20,0.1,350.0,14,59,2,9,2023,2
18,0.265282,157.0,0,59,2,9,2023,2
3,1.0,157.0,0,22,2,9,2023,2
17,0.08,800.0,13,59,2,8,2023,2
7,0.19,1500.0,13,59,2,8,2023,2
10,0.05,746.0,6,59,2,8,2023,1
24,0.07,583.0,6,59,2,8,2023,1
12,0.08,168.0,6,59,2,8,2023,0
7,0.25,85.0,3,59,2,8,2023,0
27,0.75,63.0,0,1,2,8,2023,2
7,0.14,278.0,5,7,2,8,2023,2
12,1.0,100.0,4,59,2,8,2023,2
1,0.2,15.0,14,1,2,8,2023,2
19,0.15,276.0,13,59,2,7,2023,2
23,0.04,1200.0,13,59,2,7,2023,0
25,0.09,83.0,13,59,2,7,2023,1
24,0.1,245.0,14,59,2,7,2023,1
7,1.0,299.0,13,1,2,7,2023,1
5,0.09,56.0,12,24,2,7,2023,0
10,0.19,106.0,3,59,2,7,2023,2
11,0.05,157.0,13,59,2,6,2023,2
15,0.07,507.0,7,5,2,6,2023,2
23,0.265282,80.0,14,1,2,6,2023,1
27,0.265282,157.0,15,59,2,6,2023,1
17,0.265282,107.0,14,59,2,6,2023,0
18,0.25,19.0,0,22,2,6,2023,0
24,0.265282,496.0,7,59,2,6,2023,0
7,0.265282,2300.0,0,5,2,6,2023,2
