industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
23,0.265282,116,6,22,'\'(-inf-74.5]\'',3,6,2023
23,0.265282,365,4,16,'\'(245.743-inf)\'',3,6,2023
10,0.265282,157,14,41,'\'(-inf-74.5]\'',3,4,2023
21,0.15,788,0,5,'\'(245.743-inf)\'',3,3,2023
27,0.7,317,13,59,'\'(74.5-245.743]\'',3,3,2023
21,0.265282,59,0,1,'\'(74.5-245.743]\'',3,3,2023
17,0.265282,152,14,59,'\'(-inf-74.5]\'',3,3,2023
28,0.265282,6400,13,59,'\'(-inf-74.5]\'',3,3,2023
12,0.265282,458,13,59,'\'(245.743-inf)\'',3,3,2023
19,0.265282,1200,7,59,'\'(245.743-inf)\'',3,3,2023
25,0.03,148,13,59,'\'(74.5-245.743]\'',3,2,2023
5,0.265282,461,6,59,'\'(74.5-245.743]\'',3,2,2023
9,0.265282,157,14,5,'\'(-inf-74.5]\'',3,2,2023
8,0.11,13,2,22,'\'(-inf-74.5]\'',3,2,2023
18,0.1,20,14,59,'\'(-inf-74.5]\'',3,2,2023
7,0.1,157,0,53,'\'(245.743-inf)\'',3,2,2023
23,0.265282,12900,14,22,'\'(245.743-inf)\'',3,2,2023
2,1,157,14,59,'\'(245.743-inf)\'',3,2,2023
21,0.265282,472,5,59,'\'(74.5-245.743]\'',3,2,2023
15,0.265282,157,14,59,'\'(245.743-inf)\'',3,2,2023
19,0.04,748,13,59,'\'(245.743-inf)\'',3,1,2023
9,0.06,2100,15,5,'\'(245.743-inf)\'',3,1,2023
12,0.265282,482,6,59,'\'(245.743-inf)\'',3,1,2023
27,0.08,5500,15,59,'\'(74.5-245.743]\'',3,1,2023
10,0.2,495,6,16,'\'(74.5-245.743]\'',3,1,2023
26,0.265282,102,4,59,'\'(74.5-245.743]\'',3,1,2023
28,0.14,839,13,59,'\'(74.5-245.743]\'',3,1,2023
3,0.5,70,2,59,'\'(245.743-inf)\'',3,1,2023
2,0.265282,2,13,59,'\'(74.5-245.743]\'',2,28,2023
2,0.08,557,13,59,'\'(74.5-245.743]\'',2,28,2023
5,1,157,0,22,'\'(245.743-inf)\'',2,28,2023
7,0.09,485,13,59,'\'(245.743-inf)\'',2,28,2023
27,0.265282,126,13,17,'\'(245.743-inf)\'',2,27,2023
12,0.15,462,4,59,'\'(245.743-inf)\'',2,27,2023
7,0.25,283,0,59,'\'(74.5-245.743]\'',2,27,2023
4,0.02,3000,13,59,'\'(74.5-245.743]\'',2,27,2023
24,0.07,489,8,59,'\'(-inf-74.5]\'',2,27,2023
25,0.25,126,3,59,'\'(-inf-74.5]\'',2,27,2023
25,0.265282,401,0,25,'\'(-inf-74.5]\'',2,26,2023
2,0.1,12900,13,59,'\'(74.5-245.743]\'',2,25,2023
